Ad Date,Ad Title,Ad Type,Age Specified,County,Gender Specified,Image No,Count,URL_ERROR,FULL TEXT,Notes,Press Date,Sale Date,Sale Disposition,Sale Location County,Sale Location Locale,Sale Location State,Skills Specified,First Name,Last Name,Source,Source Page,Subscriber County,Subscriber Firstname,Subscriber Lastname,Subscriber Locale,Subscriber State
,for sale,sell,14,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350603acda43.pdf,1,,"FOR SALE—A likely Mulatto GIRL, 14 years
old, and has 21 years to serve—She is fond of children, and has been accustomed to nursing and all kinds
of house-work. She is sold for want of employment.
To save trouble the price is 225 dollars—apply to the printers.	
je 3 eo4t",page 3 2nd column,18350603,,private_dealer,,,MD,Nursing and Housework,,,American Commercial and Daily Advertiser,,,,,,MD
,coloured man,sell,38,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350605acda44.pdf,1,ERROR,,page 3 2nd column,18350605,,private_dealer,,,MD,,,,American Commercial and Daily Advertiser,,,,,,MD
,to hire,sell,9,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350612acda45.pdf,1,,"TO HIRE--a colored BOY about 9 or 10 years old. He is just from the country, and will make
an excellent servant. He will be hired at present for
his maintenance, to a person who will take proper
care of him. Inquire at this office. 
je 11 4t*",page 1 5th column,18350612,,private_dealer,,,MD,servant,,,American Commercial and Daily Advertiser,,,,,,MD
,wanted,sell,12 or 15,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350703acda46.pdf,1,,"WANTED to purchase, by a gentleman now
sick in bed, a Coloured Boy 12 or 15 years of
age, to attend him on a tour through the country for his
health—one that can be well recommended for honesty, and attention to his owner, would have a good
home. Apply within a few days to the editors.
jy 3 4t*",page 3 3rd column,18350703,,private_dealer,,,MD,nurse,,,American Commercial and Daily Advertiser,,,,,,MD
,for sale,sell,23,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350703acda47.pdf,1,,"FOR SALE-A negro man about 23 years of age,
is a good coachman or farm hand, and tolerable
waiter, in which capacity he has been for the last two
years. Apply to the printers. 
P jy 2 d4t",page 3 5th column,18350703,,private_dealer,,,MD,coachman and farmhand,,,American Commercial and Daily Advertiser,,,,,,MD
,wanted,buy,18 - 20,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350713acda48.pdf,1,,"WANTED-Wanted, a Man Servant, one 18 to 20 years old preferred, for house use in the
city, one that can come well recommended for honesty
sobriety and good conduct a liberal price will be given and a good situation. Apply at this office. 
jy 13",page 3 3rd column,18350713,,private_dealer,,,MD,housework,,,American Commercial and Daily Advertiser,,,,,,MD
,wanted to purchase,buy,,Baltimore,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350805acda49.pdf,1,ERROR,,,18350807,,private_dealer,,,MD,seamstress and cook,,,American Commercial and Daily Advertiser,3,,,,,MD
,a negro man wanted,buy,20 - 30,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350905acda50.pdf,1,,"A NEGRO MAN WANTED—The advertiser
wishes to buy a negro man between the age of
20 and 30, of sober, industrious, and honest habits. It
is important that he should possess the specified requisites as he is intended for the purpose of a porter in a
warehouse, to take charge of a horse &c. Any person
having such a servant for sale, will please address A.
B. through the Post Office. 
d4t CR se 5",page 3 3rd column,18350905,,private_dealer,,,MD,porter,,,American Commercial and Daily Advertiser,,,,,,MD
,For hire,sell,,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350917acda51.pdf,1,,"FOR HIRE—A Man and wife—The man a good
waiter and coachman; the wife a good cook, washer and ironer. Apply at this office.
se 17 eo4t*",page 2 2nd column 7th or so down,18350917,,private_dealer,,,MD,Waiter and Coachman,,,American Commercial and Daily Advertiser,,,,,,MD
,For hire,sell,,,female,,,ERROR (blank),,,18350917,,private_dealer,,,MD,"Cook, washing and ironing",,,American Commercial and Daily Advertiser,,,,,,MD
